"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2022","342.78","342.99","344.40","338.00","256.22K","-1.50%"
"07/15/2022","348.01","350.00","356.90","346.60","477.91K","0.44%"
"07/14/2022","346.50","338.00","349.95","338.00","525.12K","2.55%"
"07/13/2022","337.90","331.16","339.90","329.25","161.66K","1.93%"
"07/07/2022","331.49","332.09","333.88","329.99","142.15K","0.15%"
"07/06/2022","331.00","332.50","333.90","329.20","83.72K","0.03%"
"07/05/2022","330.90","330.99","334.00","329.99","97.57K","0.58%"
"07/04/2022","329.00","328.10","332.70","328.10","137.46K","0.16%"
"07/01/2022","328.49","330.99","338.99","323.50","565.28K","-0.46%"
"06/30/2022","330.00","324.80","332.90","322.50","620.58K","1.54%"
"06/29/2022","325.00","336.01","337.70","320.51","498.12K","-3.27%"
"06/28/2022","336.00","338.25","342.49","334.50","240.69K","-0.88%"
"06/27/2022","339.00","331.00","339.95","330.85","279.27K","3.67%"
"06/24/2022","327.00","339.55","343.00","315.50","986.80K","-3.96%"
"06/23/2022","340.50","338.00","344.20","334.56","430.10K","1.42%"
"06/22/2022","335.74","337.99","343.95","333.80","356.59K","-0.45%"
"06/21/2022","337.25","322.16","340.90","322.01","689.98K","4.45%"
"06/20/2022","322.88","333.60","333.70","322.00","170.76K","-1.91%"
"06/17/2022","329.16","322.00","332.19","322.00","406.62K","2.26%"
"06/16/2022","321.90","322.00","326.20","321.50","76.45K","-0.80%"
"06/15/2022","324.50","323.00","326.00","322.00","77.00K","0.62%"
"06/14/2022","322.50","320.00","323.49","317.50","176.50K","0.94%"
"06/13/2022","319.50","334.50","334.50","314.00","214.09K","-4.63%"
"06/10/2022","335.00","330.90","335.10","326.61","182.59K","2.45%"
"06/09/2022","327.00","321.00","334.00","321.00","359.22K","2.03%"
"06/08/2022","320.49","321.80","323.30","310.51","416.07K","-0.47%"
"06/07/2022","322.00","326.99","328.59","321.01","155.17K","-1.53%"
"06/06/2022","327.00","318.00","327.00","316.41","142.59K","1.75%"
"06/03/2022","321.37","332.99","332.99","313.00","238.86K","-1.77%"
"06/02/2022","327.15","333.03","335.99","325.00","163.98K","-2.49%"
"06/01/2022","335.50","340.54","342.55","334.00","114.75K","-0.65%"
"05/31/2022","337.71","339.00","343.99","337.03","290.43K","0.81%"
"05/30/2022","335.00","327.00","340.72","327.00","358.91K","1.85%"
"05/27/2022","328.92","344.99","348.51","328.00","952.77K","1.46%"
"05/26/2022","324.20","302.00","324.20","300.01","811.89K","7.00%"
"05/25/2022","303.00","296.10","313.90","281.00","1.62M","1.68%"
"05/24/2022","298.00","312.00","321.87","297.99","1.79M","-7.17%"
"05/23/2022","321.00","326.00","330.00","320.55","139.00K","-4.18%"
"05/20/2022","335.00","332.00","337.00","332.00","367.51K","0.93%"
"05/19/2022","331.90","330.00","338.90","328.00","1.00M","-0.29%"
"05/18/2022","332.85","331.90","334.00","324.06","1.02M","1.79%"
"05/17/2022","327.00","325.00","330.99","322.13","330.33K","1.20%"
"05/16/2022","323.11","330.12","336.00","321.20","169.25K","-5.71%"
"05/13/2022","342.67","337.00","346.00","331.10","314.66K","1.68%"
"05/12/2022","337.00","331.01","339.90","321.33","230.48K","0.60%"
"05/11/2022","334.98","344.49","345.00","320.50","516.54K","-1.30%"
"05/10/2022","339.40","347.00","350.00","339.25","326.35K","-1.63%"
"05/09/2022","345.01","369.99","369.99","344.00","844.36K","-7.22%"
"05/06/2022","371.84","387.00","387.00","370.00","260.11K","-3.99%"
"04/28/2022","387.30","393.77","396.99","378.01","358.46K","-2.10%"
"04/27/2022","395.60","401.15","404.00","387.00","202.81K","-2.32%"
"04/26/2022","405.00","406.99","408.00","402.10","352.40K","0.50%"
"04/25/2022","403.00","395.00","407.00","392.02","453.18K","2.81%"
"04/22/2022","392.00","388.05","394.50","386.00","136.86K","0.77%"
"04/21/2022","389.00","392.01","394.00","385.00","118.50K","-1.27%"
"04/20/2022","394.00","399.90","400.00","390.01","99.93K","-1.01%"
"04/19/2022","398.00","402.00","402.90","393.51","149.13K","-0.50%"
"04/18/2022","400.00","408.20","410.35","399.11","271.65K","-1.72%"
"04/15/2022","407.00","413.00","414.03","407.00","176.13K","-1.21%"
"04/14/2022","412.00","411.00","412.20","408.50","113.28K","0.00%"
"04/13/2022","411.99","412.72","414.00","405.21","248.36K","-0.24%"
"04/12/2022","413.00","415.00","415.00","405.00","268.64K","-0.12%"
"04/11/2022","413.50","402.10","417.60","402.10","1.55M","6.71%"
"04/08/2022","387.51","383.10","392.99","382.00","278.29K","0.65%"
"04/07/2022","385.00","384.00","385.00","379.50","857.93K","0.79%"
"04/06/2022","382.00","375.00","383.00","374.20","148.56K","1.99%"
"04/05/2022","374.55","375.99","384.00","371.05","241.37K","0.15%"
"04/04/2022","374.00","370.00","378.97","363.11","195.76K","-2.10%"
"04/01/2022","382.03","378.90","394.00","378.10","538.21K","0.83%"
"03/31/2022","378.87","380.00","380.00","356.36","575.24K","5.31%"
"03/30/2022","359.75","357.01","360.49","352.52","592.62K","0.63%"
"03/29/2022","357.50","354.50","359.09","353.50","580.50K","1.71%"
"03/28/2022","351.50","353.00","354.00","348.50","563.60K","-0.28%"
"03/25/2022","352.50","358.56","358.56","352.00","448.12K","-0.70%"
"03/24/2022","355.00","357.50","360.00","347.58","705.08K","-0.70%"
"03/22/2022","357.51","362.52","365.00","357.50","327.86K","-0.97%"
"03/21/2022","361.00","364.95","368.50","360.75","257.50K","-0.61%"
"03/18/2022","363.21","380.00","380.00","360.01","1.24M","-4.69%"
"03/17/2022","381.10","380.63","389.73","380.63","267.12K","0.16%"
"03/16/2022","380.50","362.50","382.50","362.50","788.55K","4.97%"
"03/15/2022","362.49","358.50","362.59","357.55","280.46K","1.89%"
"03/14/2022","355.76","357.00","366.67","351.00","719.74K","-0.21%"
"03/11/2022","356.52","362.75","362.78","352.78","2.81M","4.79%"
"03/10/2022","340.20","325.00","340.20","320.05","919.63K","7.34%"
"03/09/2022","316.95","312.50","318.00","302.50","168.75K","4.26%"
"03/08/2022","304.00","303.00","319.50","300.26","553.14K","-0.33%"
"03/07/2022","304.99","316.00","316.00","304.04","257.05K","-4.69%"
"03/04/2022","319.99","312.39","321.99","312.39","274.20K","2.40%"
"03/03/2022","312.50","317.50","317.50","311.61","67.79K","-1.11%"
"03/02/2022","316.00","325.50","325.50","315.00","454.01K","-3.07%"
"03/01/2022","326.00","335.00","335.00","322.22","561.36K","0.93%"
"02/28/2022","323.00","319.00","323.00","305.51","139.49K","0.94%"
"02/25/2022","320.00","315.01","332.50","314.98","167.91K","0.00%"
"02/24/2022","319.99","327.51","328.63","318.50","578.88K","-5.89%"
"02/23/2022","340.00","338.00","341.90","338.00","148.46K","0.74%"
"02/22/2022","337.50","343.51","343.51","332.99","320.02K","-2.15%"
"02/21/2022","344.90","346.00","347.25","344.00","17.66K","-0.49%"
"02/18/2022","346.60","343.00","347.50","343.00","169.71K","1.05%"
"02/17/2022","342.99","340.50","344.50","340.50","501.59K","0.14%"
"02/16/2022","342.50","347.50","347.50","342.50","157.55K","-0.44%"
"02/15/2022","344.00","346.78","349.00","342.52","207.41K","-0.15%"
"02/14/2022","344.50","359.49","359.49","342.50","166.25K","-3.03%"
"02/11/2022","355.25","354.00","362.50","350.00","1.25M","0.64%"
"02/10/2022","353.00","358.99","358.99","351.75","550.58K","-1.40%"
"02/09/2022","358.00","362.49","362.49","357.50","401.95K","-1.78%"
"02/08/2022","364.49","367.00","367.00","360.00","46.13K","-0.14%"
"02/07/2022","365.00","366.50","366.50","363.50","26.43K","0.41%"
"02/04/2022","363.50","372.49","372.49","360.00","339.56K","-1.22%"
"02/03/2022","368.00","368.44","372.50","368.00","131.64K","0.14%"
"02/02/2022","367.50","369.99","369.99","366.00","354.26K","0.01%"
"02/01/2022","367.45","367.50","371.49","366.21","102.78K","0.26%"
"01/31/2022","366.50","369.50","371.50","366.50","90.40K","-0.27%"
"01/28/2022","367.50","372.50","372.50","367.50","99.39K","-1.21%"
"01/27/2022","372.00","374.65","374.65","371.25","105.40K","-0.13%"
"01/26/2022","372.50","377.49","377.49","369.70","345.09K","-0.67%"
"01/25/2022","375.00","387.88","387.88","373.25","1.44M","-2.09%"
"01/24/2022","383.00","390.00","397.50","382.51","116.30K","-1.16%"
"01/21/2022","387.50","385.02","392.50","385.02","85.99K","0.28%"
"01/20/2022","386.40","385.00","387.25","379.98","409.59K","-0.16%"
"01/19/2022","387.00","387.50","390.00","384.50","872.57K","-0.13%"
"01/18/2022","387.50","389.25","391.99","386.00","342.66K","-0.51%"
"01/17/2022","389.50","777.00","391.50","385.00","240.03K","-0.12%"
"01/14/2022","389.98","393.49","392.00","387.50","108.23K","0.51%"
"01/13/2022","388.00","392.00","393.00","388.00","95.24K","-0.51%"
"01/12/2022","390.00","393.50","396.50","387.59","214.34K","-0.39%"
"01/11/2022","391.52","404.75","404.75","390.02","279.31K","-2.73%"
"01/10/2022","402.51","402.25","408.00","400.00","144.56K","-0.19%"
"01/07/2022","403.27","393.50","407.50","392.50","287.98K","2.09%"
"01/06/2022","395.00","390.00","398.50","386.45","82.59K","0.51%"
"01/05/2022","393.00","399.00","399.00","392.50","24.24K","-0.82%"
"01/04/2022","396.25","389.00","399.00","388.27","267.86K","2.06%"
"01/03/2022","388.25","377.00","390.50","377.00","133.99K","2.19%"
"12/31/2021","379.92","383.50","383.50","377.01","472.94K","-0.70%"
"12/30/2021","382.60","375.00","387.00","372.50","286.81K","2.23%"
"12/29/2021","374.25","376.50","381.75","374.06","215.57K","-1.64%"
"12/28/2021","380.50","384.00","384.00","378.00","23.21K","0.53%"
"12/27/2021","378.51","375.50","384.50","374.50","21.78K","0.00%"
"12/24/2021","378.51","373.50","384.00","373.50","62.64K","0.27%"
"12/23/2021","377.50","373.50","381.75","373.50","47.25K","-0.66%"
"12/22/2021","380.00","380.00","385.00","371.50","149.47K","0.13%"
"12/21/2021","379.51","381.00","386.45","379.00","107.54K","-1.04%"
"12/20/2021","383.51","390.50","390.50","380.00","220.78K","-1.08%"
